,smiles
126,CC1(C(=O)NCCN1C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F)C
127,C1CCN(CC1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
128,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=C(C=C5)F)NC1
129,CCOC(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
130,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)CCOC5=CC=CC=C5)NC1
131,CC(C)C(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
132,CS(=O)(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
133,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCNCC4)NC1
134,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
135,CCC(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
136,C1CCC(C1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
137,CN(C1CCN(CC1)C(=O)C2=CC=CC=N2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
138,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCNC(=O)C4)NC1
139,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CC=CC=N5)NC1
140,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=CC(=C5)C(F)(F)F)NC1
141,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N)NC1
142,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C(F)(F)F)NC1
143,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC(=C(N=C5)Cl)O)NC1
144,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CN=C(C=C5)Cl)NC1
145,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=C(N=CC=C5)Cl)NC1
146,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(C(C4)N5CCOCC5)C=O)NC1
