acname,acvalue
IC50,0.25
IC50,0.25
IC50,0.25
IC50,0.2497
IC50,0.2495
Ki,0.249
IC50,0.249
IC50,0.249
Ki,0.249
IC50,0.24869
IC50,0.248
Ki,0.248
IC50,0.247
IC50,0.244
IC50,0.244
IC50,0.243
Ki,0.243
Ki,0.242
IC50,0.24049
IC50,0.24
IC50,0.24
IC50,0.24
Ki,0.24
Ki,0.24
IC50,0.24
IC50,0.24
IC50,0.24
IC50,0.24
Ki,0.239
Ki,0.238
Ki,0.238
IC50,0.237
Ki,0.237
IC50,0.23442
IC50,0.234
IC50,0.2337
IC50,0.232
IC50,0.231
Ki,0.23
IC50,0.23
IC50,0.23
EC50,0.23
EC50,0.23
IC50,0.23
IC50,0.23
IC50,0.23
IC50,0.23
IC50,0.23
IC50,0.23
IC50,0.23
Ki,0.229
EC50,0.225
Ki,0.225
IC50,0.2249
IC50,0.224
IC50,0.22387
IC50,0.22387
IC50,0.223
Ki,0.223
IC50,0.223
Ki,0.222
ED50,0.22
EC90,0.22
IC50,0.22
IC50,0.22
IC50,0.22
Kd,0.22
IC50,0.22
Kd,0.22
IC50,0.22
Ki,0.219
IC50,0.21851
IC50,0.2162
EC50,0.216
Ki,0.216
Ki,0.212
IC50,0.21
EC50,0.21
IC50,0.21
IC50,0.21
Ki,0.21
IC50,0.21
IC50,0.209
EC50,0.2069
Ki,0.206
Ki,0.206
Ki,0.205
Ki,0.204
Ki,0.204
Ki,0.204
Ki,0.203
IC50,0.2019
Ki,0.2
IC50,0.2
EC50,0.2
EC50,0.2
EC50,0.2
Kd,0.2
IC50,0.2
IC50,0.2
EC50,0.2
IC50,0.2
IC50,0.2
IC50,0.2
IC50,0.2
IC50,0.2
IC50,0.2
IC50,0.2
EC50,0.2
EC50,0.2
IC50,0.2
IC50,0.2
EC50,0.2
IC50,0.2
IC50,0.2
IC50,0.2
IC50,0.2
IC50,0.199
Ki,0.198
IC50,0.197
IC50,0.197
IC50,0.1961
Ki,0.196
IC50,0.195
Ki,0.195
IC50,0.19498
IC50,0.19498
IC50,0.19498
Ki,0.194
Ki,0.191
Ki,0.191
Ki,0.191
Ki,0.191
Ki,0.19
Ki,0.19
IC50,0.19
EC50,0.19
IC50,0.19
IC50,0.19
IC50,0.19
IC50,0.19
IC50,0.19
IC50,0.19
IC50,0.19
IC50,0.19
IC50,0.19
IC50,0.189
IC50,0.189
IC50,0.188
IC50,0.188
IC50,0.187
IC50,0.1866
IC50,0.185
Ki,0.185
Ki,0.185
Ki,0.185
IC50,0.18496
IC50,0.184
IC50,0.18
EC50,0.18
IC50,0.18
IC50,0.18
IC50,0.18
IC50,0.18
Ki,0.18
EC50,0.18
IC50,0.18
IC50,0.18
EC50,0.18
IC50,0.18
EC50,0.18
EC50,0.18
IC50,0.18
Ki,0.18
IC50,0.18
IC50,0.18
IC50,0.18
IC50,0.18
IC50,0.18
Kd,0.18
IC50,0.1792
Ki,0.177
Ki,0.176
IC50,0.176
Ki,0.176
EC50,0.1757
IC50,0.175
Ki,0.175
IC50,0.1749
IC50,0.174
IC50,0.173
IC50,0.173
Ki,0.173
Ki,0.173
Ki,0.173
Ki,0.172
EC50,0.171
IC50,0.171
IC50,0.1702
IC50,0.17
EC50,0.17
EC50,0.17
Kd,0.17
IC50,0.17
IC50,0.17
IC50,0.169
IC50,0.169
IC50,0.169
IC50,0.167
Ki,0.167
IC50,0.16615
IC50,0.166
Ki,0.166
IC50,0.16596
IC50,0.165
IC50,0.165
Ki,0.165
Ki,0.165
EC50,0.164
Ki,0.164
EC50,0.164
Ki,0.163
IC50,0.162
IC50,0.162
IC50,0.162
IC50,0.161
IC50,0.161
Ki,0.161
EC50,0.16
EC50,0.16
IC50,0.16
IC50,0.16
IC50,0.16
EC50,0.16
EC50,0.16
Kd,0.16
Ki,0.16
IC50,0.16
Ki,0.159
